# Ping Current -- 2026-09-25 -- Anchor: post_market -- Updated: 16:15

| Ticker | Price | RSI | CV | RSI Zone | Rolling Hi | Rolling Lo | Trigger |
|---|---|---|---|---|---|---|---|
| AMD | 630.60 | 53.5 | 45.3 | neutral | 632.33 | 628.17 | -- |
| ARM | 311.00 | 43.3 | 39.0 | neutral | 313.94 | 310.08 | -- |
| CAT | 820.48 | 54.8 | 85.4 | neutral | 822.50 | 817.68 | -- |
| CL=F | 92.36 |  |  |  | 92.78 | 92.21 | -- |
| COP | 127.12 | 33.8 | 36.2 | bearish | 127.51 | 127.11 | -- |
| CVX | 204.41 | 46.7 | 32.4 | neutral | 204.75 | 204.28 | -- |
| DX-Y.NYB | 100.98 |  |  |  | 100.99 | 100.95 | -- |
| FCX | 72.25 | 48.4 | 39.0 | neutral | 72.41 | 72.21 | -- |
| GC=F | 4329.00 |  |  |  | 4329.60 | 4322.70 | -- |
| GE | 326.92 | 60.4 | 39.3 | bullish | 327.36 | 325.65 | ACTION |
| GEV | 957.63 | 75.0 | 47.1 | overbought | 957.66 | 952.38 | ACTION |
| HG=F | 6.78 |  |  |  | 6.78 | 6.77 | -- |
| INTC | 122.90 | 38.8 | -30.8 | bearish | 123.83 | 122.80 | ACTION |
| LRCX | 315.33 | 47.3 | 86.1 | neutral | 317.13 | 314.14 | -- |
| META | 751.33 | 48.7 | -13.6 | neutral | 753.80 | 749.87 | -- |
| MPC | 393.52 | 49.9 | 1.7 | neutral | 394.64 | 392.19 | ACTION |
| MU | 1081.92 | 51.9 | -17.1 | neutral | 1086.00 | 1079.94 | -- |
| NEM | 121.47 | 42.2 | 37.1 | neutral | 121.66 | 121.31 | ACTION |
| NQ=F | 30912.00 |  |  |  | 30918.75 | 30845.00 | -- |
| PSX | 255.75 | 39.7 | 25.1 | bearish | 256.80 | 255.31 | ACTION |
| VLO | 386.81 | 41.9 | -9.4 | neutral | 388.82 | 386.06 | ACTION |
| XOM | 160.50 | 47.3 | 39.4 | neutral | 160.81 | 160.28 | ACTION |
| ZN=F | 105.02 |  |  |  | 105.03 | 104.91 | -- |
