# Ping Session Summary -- 2026-08-07

| Ticker | Type | Bars | Decisions | GO | Conditional | Null | First Bar | Last Bar |
|---|---|---|---|---|---|---|---|---|
| AAPL | candidate | 373 | 0 | 0 | 0 | 373 | 09:30:03 | 15:59:00 |
| ABT | candidate | 325 | 0 | 0 | 40 | 285 | 10:16:00 | 15:59:00 |
| AEP | candidate | 261 | 0 | 0 | 58 | 203 | 10:57:00 | 15:59:00 |
| ARM | candidate | 206 | 0 | 0 | 0 | 206 | 11:57:00 | 15:59:00 |
| AVGO | candidate | 225 | 0 | 0 | 59 | 166 | 11:57:00 | 15:59:00 |
| CAT | candidate | 160 | 0 | 0 | 0 | 160 | 12:57:00 | 15:59:00 |
| COST | candidate | 262 | 0 | 0 | 112 | 150 | 10:58:00 | 15:59:00 |
| DIA | candidate | 357 | 0 | 0 | 0 | 357 | 09:30:25 | 15:59:00 |
| ETR | candidate | 245 | 0 | 0 | 99 | 146 | 10:57:00 | 15:59:00 |
| GE | candidate | 159 | 0 | 0 | 0 | 159 | 12:57:00 | 15:59:00 |
| GEV | candidate | 211 | 0 | 0 | 46 | 165 | 09:30:26 | 15:59:00 |
| GOOGL | candidate | 224 | 0 | 0 | 59 | 165 | 11:57:00 | 15:59:00 |
| IWM | candidate | 373 | 0 | 0 | 0 | 373 | 09:30:27 | 15:59:00 |
| JPM | candidate | 164 | 0 | 0 | 0 | 164 | 12:57:00 | 15:59:00 |
| LLY | candidate | 290 | 0 | 0 | 0 | 290 | 10:46:00 | 15:59:00 |
| LRCX | candidate | 129 | 0 | 0 | 0 | 129 | 13:26:00 | 15:59:00 |
| META | candidate | 223 | 0 | 0 | 0 | 223 | 11:57:00 | 15:59:00 |
| NEM | candidate | 368 | 0 | 0 | 86 | 282 | 09:30:23 | 15:59:00 |
| PG | candidate | 323 | 0 | 0 | 158 | 165 | 10:16:00 | 15:59:00 |
| QQQ | candidate | 373 | 0 | 0 | 0 | 373 | 09:30:03 | 15:59:00 |
| SHW | candidate | 356 | 0 | 0 | 201 | 155 | 09:30:08 | 15:59:00 |
| SO | candidate | 262 | 0 | 0 | 57 | 205 | 10:57:00 | 15:59:00 |
| SPY | candidate | 345 | 0 | 0 | 0 | 345 | 09:30:27 | 15:59:00 |
| SPY | etf | 218 | 0 | 0 | 0 | 218 | 05:59:00 | 09:58:00 |
| V | candidate | 371 | 0 | 0 | 46 | 325 | 09:30:24 | 15:59:00 |
| WMT | candidate | 283 | 0 | 0 | 118 | 165 | 10:58:00 | 15:59:00 |
| XLB | candidate | 338 | 0 | 0 | 0 | 338 | 09:30:25 | 15:59:00 |
| XLB | etf | 52 | 0 | 0 | 0 | 52 | 05:21:00 | 09:58:00 |
| XLC | candidate | 340 | 0 | 0 | 0 | 340 | 09:30:26 | 15:59:00 |
| XLC | etf | 44 | 0 | 0 | 0 | 44 | 04:44:00 | 09:58:00 |
| XLE | candidate | 344 | 0 | 0 | 0 | 344 | 09:30:26 | 15:59:00 |
| XLE | etf | 123 | 0 | 0 | 0 | 123 | 05:48:00 | 09:58:00 |
| XLF | candidate | 343 | 0 | 0 | 0 | 343 | 09:30:26 | 15:59:00 |
| XLF | etf | 98 | 0 | 0 | 0 | 98 | 05:37:00 | 09:58:00 |
| XLI | candidate | 345 | 0 | 0 | 0 | 345 | 09:30:26 | 15:59:00 |
| XLI | etf | 73 | 0 | 0 | 0 | 73 | 05:34:00 | 09:58:00 |
| XLK | candidate | 343 | 0 | 0 | 0 | 343 | 09:30:27 | 15:59:00 |
| XLK | etf | 109 | 0 | 0 | 0 | 109 | 05:36:00 | 09:58:00 |
| XLP | candidate | 332 | 0 | 0 | 0 | 332 | 09:30:25 | 15:59:00 |
| XLP | etf | 76 | 0 | 0 | 0 | 76 | 05:30:00 | 09:58:00 |
| XLRE | candidate | 314 | 0 | 0 | 0 | 314 | 09:30:23 | 15:59:00 |
| XLRE | etf | 48 | 0 | 0 | 0 | 48 | 05:21:00 | 09:58:00 |
| XLU | candidate | 343 | 0 | 0 | 0 | 343 | 09:30:27 | 15:59:00 |
| XLU | etf | 98 | 0 | 0 | 0 | 98 | 05:31:00 | 09:58:00 |
| XLV | candidate | 344 | 0 | 0 | 0 | 344 | 09:30:25 | 15:59:00 |
| XLV | etf | 92 | 0 | 0 | 0 | 92 | 05:16:00 | 09:58:00 |
| XLY | candidate | 340 | 0 | 0 | 0 | 340 | 09:30:23 | 15:59:00 |
| XLY | etf | 54 | 0 | 0 | 0 | 54 | 04:57:00 | 09:58:00 |
