# Ping Monthly Archive -- 2026-07

| Session Date | Ticker | Type | Bars | Decisions |
|---|---|---|---|---|
| 2026-07-01 | ARM | candidate | 116 | 0 |
| 2026-07-01 | AVGO | candidate | 62 | 0 |
| 2026-07-01 | BRK-B | candidate | 120 | 0 |
| 2026-07-01 | CAT | candidate | 120 | 0 |
| 2026-07-01 | DE | candidate | 207 | 0 |
| 2026-07-01 | GE | candidate | 122 | 0 |
| 2026-07-01 | GEV | candidate | 266 | 0 |
| 2026-07-01 | GOOGL | candidate | 122 | 0 |
| 2026-07-01 | JPM | candidate | 123 | 0 |
| 2026-07-01 | LIN | candidate | 110 | 0 |
| 2026-07-01 | META | candidate | 122 | 0 |
| 2026-07-01 | NUE | candidate | 83 | 0 |
| 2026-07-01 | NVDA | candidate | 62 | 0 |
| 2026-07-01 | PG | candidate | 122 | 0 |
| 2026-07-01 | RTX | candidate | 244 | 0 |
| 2026-07-01 | SHW | candidate | 110 | 0 |
| 2026-07-01 | SO | candidate | 107 | 0 |
| 2026-07-01 | SPY | etf | 151 | 0 |
| 2026-07-01 | V | candidate | 122 | 0 |
| 2026-07-01 | XLB | etf | 9 | 0 |
| 2026-07-01 | XLC | etf | 12 | 0 |
| 2026-07-01 | XLE | etf | 64 | 0 |
| 2026-07-01 | XLF | etf | 40 | 0 |
| 2026-07-01 | XLI | etf | 23 | 0 |
| 2026-07-01 | XLK | etf | 56 | 0 |
| 2026-07-01 | XLP | etf | 34 | 0 |
| 2026-07-01 | XLRE | etf | 12 | 0 |
| 2026-07-01 | XLU | etf | 25 | 0 |
| 2026-07-01 | XLV | etf | 42 | 0 |
| 2026-07-01 | XLY | etf | 18 | 0 |
| 2026-07-02 | ARM | candidate | 110 | 0 |
| 2026-07-02 | BAC | candidate | 261 | 0 |
| 2026-07-02 | BRK-B | candidate | 250 | 0 |
| 2026-07-02 | CAT | candidate | 208 | 0 |
| 2026-07-02 | COST | candidate | 205 | 0 |
| 2026-07-02 | GE | candidate | 205 | 0 |
| 2026-07-02 | GEV | candidate | 204 | 0 |
| 2026-07-02 | GOOGL | candidate | 218 | 0 |
| 2026-07-02 | JPM | candidate | 260 | 0 |
| 2026-07-02 | LIN | candidate | 249 | 0 |
| 2026-07-02 | META | candidate | 179 | 0 |
| 2026-07-02 | NUE | candidate | 143 | 0 |
| 2026-07-02 | PG | candidate | 207 | 0 |
| 2026-07-02 | SHW | candidate | 196 | 0 |
| 2026-07-02 | SO | candidate | 195 | 0 |
| 2026-07-02 | SPY | etf | 131 | 0 |
| 2026-07-02 | V | candidate | 263 | 0 |
| 2026-07-02 | WELL | candidate | 192 | 0 |
| 2026-07-02 | WMT | candidate | 218 | 0 |
| 2026-07-02 | XLB | etf | 12 | 0 |
| 2026-07-02 | XLC | etf | 14 | 0 |
| 2026-07-02 | XLE | etf | 66 | 0 |
| 2026-07-02 | XLF | etf | 73 | 0 |
| 2026-07-02 | XLI | etf | 26 | 0 |
| 2026-07-02 | XLK | etf | 64 | 0 |
| 2026-07-02 | XLP | etf | 31 | 0 |
| 2026-07-02 | XLRE | etf | 13 | 0 |
| 2026-07-02 | XLU | etf | 36 | 0 |
| 2026-07-02 | XLV | etf | 43 | 0 |
| 2026-07-02 | XLY | etf | 19 | 0 |
| 2026-07-03 | SPY | etf | 1 | 0 |
| 2026-07-03 | XLB | etf | 1 | 0 |
| 2026-07-03 | XLC | etf | 1 | 0 |
| 2026-07-03 | XLE | etf | 1 | 0 |
| 2026-07-03 | XLF | etf | 1 | 0 |
| 2026-07-03 | XLI | etf | 1 | 0 |
| 2026-07-03 | XLK | etf | 1 | 0 |
| 2026-07-03 | XLP | etf | 1 | 0 |
| 2026-07-03 | XLRE | etf | 1 | 0 |
| 2026-07-03 | XLU | etf | 1 | 0 |
| 2026-07-03 | XLV | etf | 1 | 0 |
| 2026-07-03 | XLY | etf | 1 | 0 |
